10000001	'luchtverversings'-longontsteking
10000002	11-bèta-hydroxylasedeficiëntie
10000003	11-oxysteroïdactiviteit verhoogd
10000004	11-oxysteroïdactiviteit verhoogd
10000005	17-ketosteroïden urine
10000006	17-ketosteroïden urine abnormaal NAO
10000007	17-ketosteroïden urine verlaagd
10000008	17-ketosteroïden urine hoog
10000009	17-ketosteroïden urine verhoogd
10000010	17-ketosteroïden urine laag
10000011	17-ketosteroïden urine normaal
10000012	17-OHCS verhoogd
10000013	17,20-desmolasedeficiëntie
10000014	17-alfa-hydroxylasedeficiëntie
10000015	17-hydroxycorticosteroïdactiviteit verhoogd
10000016	17-hydroxysteroïdactiviteit verhoogd
10000017	17-hydroxysteroïdactiviteit verhoogd
10000018	1e graads hartblok
10000019	graad I vaginaprolaps
10000020	20,22-desmolasedeficiëntie
10000021	21-hydroxylasedeficiëntie
10000022	2e graads hartblok
10000023	graad II vaginaprolaps
10000024	3,5,3-trijoodthyronine abnormaal
10000025	3,5,3-trijoodthyronine verlaagd
10000026	3,5,3-trijoodthyronine verhoogd
10000027	graad III vaginaprolaps
10000028	5'nucleotidase verhoogd
10000029	5-alfa-reductasedeficiëntie
10000030	5a-reductase-inhibitietherapie
10000031	5q-syndroom
10000033	A-hypervitaminose
10000034	A-V-dissociatie
10000035	A-V-misvorming
10000036	ARDS
10000037	A/G ratio
10000038	A/G ratio normaal
10000039	abdominale pijn
10000040	abdominale pijn
10000041	abdominale opzwelling
10000042	ongemak abdominaal
10000043	branderig gevoel van buik
10000044	abdomen crush-letsel
10000045	opgezette buik
10000046	opgezet gevoel van de buik
10000047	pseudo-acuut abdomen
10000048	buikabces NAO
10000049	abdominale actinomycose
10000050	abdominale adhesies
10000051	abdominaal aneurysma
10000052	abdominaal aneurysma zonder vermelding van ruptuur
10000053	geruptureerd abdominaal aneurysma
10000054	aneurysma aorta abdominalis
10000055	buikkoliek
10000056	buikkramp
10000057	buikkrampen
10000058	buikkramppijnen
10000059	abdominaal ongemak
10000060	abdominale distensie
10000061	abdominale distensie door gas
10000062	pijn in de onderbuik
10000064	abdominale verslapping
10000065	vol gevoel van de buik
10000066	buikopspanning
10000067	abdominale hernia, verworven
10000068	abdominale hernia NAO
10000069	buikhernia NAO gangreneus
10000070	abdominale hernia NAO, obstructief
10000071	abdominale hernia op gespecificeerde plaats
10000074	abdominale uitstulping
10000075	abdominale hysterectomie
10000076	buikletsel NAO
10000077	buikgewzwel
10000078	buikgezwel NAO
10000079	abdominale geluiden
10000080	buik- of bekkenzwelling, gezwel of knobbel
10000081	abdominale pijn
10000082	gegeneraliseerde buikpijn
10000083	buikpijn gelokaliseerd
10000084	buikpijn onderaan
10000085	buikpijn NAO
10000086	buikpijn maagzweerachtig
10000087	bovenbuikpijn
10000088	zwangerschap ectopisch
10000089	buikloslating
10000090	plankharde buik
10000091	scan buik NAO
10000092	scan buik NAO abnormaal
10000093	scan buik NAO normaal
10000094	abdominaal sinusherstel
10000095	buiksymptoom NAO
10000096	abdominaal syndroom, acuut
10000097	buikgevoeligheid
10000098	abdominale transpositie
10000099	buikwandabces
10000100	buikwandabcesdrainage
10000101	buikwandanomalie
10000102	biopsie buikwand
10000103	biopsie buikwand abnormaal
10000104	biopsie buikwand normaal
10000105	buikwandoperatie NAO
10000106	gespannen buikwand
10000107	buikwind
10000108	abdomino-perineale resectie van rectum
10000109	abdominocentese
10000110	abducens paralyse
10000111	nervus abducensoperatie
10000112	nervus abducens paralyse
10000113	ABG's abnormaal
10000114	ABG's normaal
10000115	abnormale arteriële bloedgassen
10000116	afwijkende gehoorswaarneming, niet-gespecificeerd
10000118	abnormaal gedrag NAO
10000119	abnormale darmgeluiden
10000120	abnormale borstkasgeluiden
10000121	abnormale borstkasgeluiden NAO
10000122	abnormaal stollingsprofiel
10000123	abnormale complementfixatie
